"response","predictor","predictor_coef","predictor_se","covariate_coef","covariate_se","predictor_p","covariate_p","overall_r2","analysis_scale"
"FDis","patchRichness",0.134586554894593,0.0758963660875117,0.442622924994364,0.0758963660875117,0.0781438984705739,3.08718242987431e-08,0.263956998747551,200
"nLocomotor","patchDensity",0.0996945795487427,0.0551461452060117,0.714539155605951,0.0551461452060117,0.0725725746374218,1.75659353282067e-26,0.552699965851676,200
"nLocomotor","CV woody cover",-0.0917647114591839,0.0541663829969835,0.481471460055294,0.0660195785386271,0.0924969596541911,2.15056517112842e-11,0.340702573644364,200
"nLocomotor","patchRichness",0.190540716561008,0.0577939559201095,0.657218410665738,0.0577939559201095,0.00121217168791853,3.58852288074613e-22,0.573198371892731,200
"nTrophic","patchDensity",0.150966032910247,0.0359032785950115,0.854015003966716,0.0359032785950115,4.40311633390755e-05,1.34266026732165e-53,0.810400656450546,200
"nTrophic","CV woody cover",-0.049722373991851,0.0387982703703749,0.731353866582517,0.0472884714865029,0.202145594060885,6.27028670108221e-32,0.671903735437715,200
"nTrophic","patchRichness",0.050102937760275,0.0404580949925097,0.867132903955072,0.0404580949925097,0.217443436344784,3.27933464462879e-48,0.790843154968792,200
"FDiv","patchDensity",-0.0571768392490252,0.0773208290891327,0.320263684943127,0.0773208290891327,0.460736912660052,5.64089820774194e-05,0.0996642685210228,500
"FDiv","CV woody cover",-0.0995547764602439,0.0755930787906022,0.631160475555793,0.0921350647037058,0.19002715377048,2.23265004376456e-10,0.303677942311257,500
"FDiv","patchRichness",0.0457054769097295,0.0828141773971025,0.292822402687784,0.0828141773971025,0.581808973981481,0.000536181448500561,0.0982600321563671,500
"FEve","patchDensity",0.341930869268347,0.0710040689266744,-0.414246545751232,0.0710040689266744,3.46061987401609e-06,3.05419534389227e-08,0.240761966412329,500
"FEve","CV woody cover",-0.199782932992893,0.0804607224397053,-0.398640518590758,0.0980678917526877,0.0142271030150757,8.03050336797125e-05,0.11624855784393,500
"FEve","patchRichness",0.1622321979331,0.0804271639558888,-0.419796868492016,0.0804271639558888,0.0454078634101476,5.67924183605802e-07,0.149493877614326,500
"FRic","patchDensity",0.0960346243533593,0.0663269069088128,0.556987858569709,0.0663269069088128,0.149665157008028,2.70084298283166e-14,0.33749223688543,500
"FRic","CV woody cover",-0.0392479130715871,0.0744567217141807,0.748089030780476,0.0907500393225776,0.598953957842527,1.16805004737393e-13,0.362976434033142,500
"FRic","patchRichness",0.00869834739239295,0.0714588532534131,0.569788729785595,0.0714588532534131,0.903274276156579,3.15301836637173e-13,0.328595852450776,500
"FDis","patchDensity",0.057519587342286,0.0704653596315113,0.489327212029136,0.0704653596315113,0.415591733923817,9.8376085104507e-11,0.252238970869162,500
"FDis","CV woody cover",-0.219739540416188,0.0723965976543812,0.196931140730956,0.0882390996097889,0.00287364520308456,0.0272411777566351,0.128923050597376,500
"FDis","patchRichness",0.0247668277359493,0.0755485985970008,0.489376606360815,0.0755485985970008,0.743485287160757,1.17112076239373e-09,0.249544819144035,500
"nLocomotor","patchDensity",0.0995572568753767,0.0544875572265297,0.720284698875874,0.0544875572265298,0.0695997710091211,3.41244240245499e-27,0.552898467810953,500
"nLocomotor","CV woody cover",-0.0947667674693194,0.0539718547757997,0.481230961236973,0.0657824818290842,0.0813317263772946,1.90483902360012e-11,0.341697773790844,500
"nLocomotor","patchRichness",0.163214612354356,0.0574613725445327,0.673493766947128,0.0574613725445327,0.00511077583646218,4.04656909725566e-23,0.565865874066377,500
"nTrophic","patchDensity",0.136391039234427,0.0358132993189319,0.865137309765143,0.0358132993189319,0.000201129405676302,2.03026125099272e-54,0.806847583106715,500
"nTrophic","CV woody cover",-0.0405885481649493,0.0387640088558176,0.735323453739706,0.0472467125462523,0.296898732368939,3.60130742506125e-32,0.67061573146702,500
"nTrophic","patchRichness",0.0415575935262162,0.0399417145310214,0.871942228675837,0.0399417145310214,0.299748356272682,3.84274383889309e-49,0.790238711798696,500
"FDiv","patchDensity",-0.0544410112984911,0.0767048783875182,0.31670628237753,0.0767048783875182,0.478927763251996,5.93853698948472e-05,0.099414822524803,1000
"FDiv","CV woody cover",-0.0971118539926386,0.0755313438054287,0.632472268700789,0.0920598202905341,0.200695493878352,2.01295590836936e-10,0.303272185229753,1000
"FDiv","patchRichness",-0.0751258678044183,0.0795283594419179,0.332352264255596,0.0795283594419179,0.346311609159749,4.87566860133667e-05,0.101659807265575,1000
"FEve","patchDensity",0.34009360716138,0.0703996312495216,-0.394594756947864,0.0703996312495216,3.23805703461484e-06,9.29240965012065e-08,0.241388203120429,1000
