"nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.bodymass","CWM.Vertebrate","CWM.Invertebrate","CWM.Fish","CWM.Seed","CWM.Fruit","CWM.Root","CWM.Woody","CWM.Herbaceous","CWM.Nectar","CWM.aquatic","CWM.terrestrial","CWM.fossorial","CWM.arboreal","shortName","nLocomotor","nTrophic"
43,43,2.06514664272065e-06,0.245927495326894,0.915822997758426,0.660922516288492,0.168709813892749,0.0327256826540069,140834.653895349,2.5952380952381,2.97619047619048,3.83333333333333,3.78571428571429,3.11904761904762,3.80952380952381,3.26190476190476,2.92857142857143,4,"0","1","0","0","Arly",4,15
39,39,4.43588686779016e-05,0.245927495326894,0.984450942533619,0.666740676579692,0.192336078319511,0.0403303043451406,235896.751025641,2.84210526315789,3.02631578947368,3.81578947368421,3.89473684210526,2.76315789473684,3.68421052631579,2.86842105263158,3.07894736842105,3.92105263157895,"0","1","0","0","Arusha",5,15
43,43,1.78989856414509e-06,0.245927495326894,0.869962316978784,0.630473060023619,0.164558989771978,0.030420424188892,81368.5923255814,2.67441860465116,2.93023255813953,3.86046511627907,3.86046511627907,3.16279069767442,3.83720930232558,3.18604651162791,3.23255813953488,4,"0","1","0","0","Awash NP",5,13
47,47,2.45037700433255e-05,0.245927495326894,0.896759235667016,0.656168847489429,0.176370325916514,0.0352726544661746,61275.9231382979,2.59574468085106,2.70212765957447,3.85106382978723,3.76595744680851,2.95744680851064,3.76595744680851,3.38297872340426,3.17021276595745,4,"0","1","0","0","Badiar NP",5,16
40,40,8.65778739675881e-05,0.245927495326894,0.984307173088827,0.630608374771985,0.195830451480997,0.0421292033665635,263590.63025,3,3.10526315789474,3.89473684210526,3.60526315789474,2.73684210526316,3.52631578947368,3.1578947368421,2.73684210526316,4,"0","1","0","0","Bagbele",5,16
46,46,1.58250756816341e-06,0.245927495326894,0.921388742696428,0.668294236714074,0.163850857496105,0.0307055699051734,74725.7745108696,2.66666666666667,3,3.77777777777778,3.8,3.13333333333333,3.88888888888889,3.31111111111111,3.06666666666667,4,"0","1","0","0","Bahr Salamat",5,15
31,31,6.40978453018084e-07,0.245927495326894,0.91909082145255,0.636490741437062,0.166435191357711,0.0325194408976995,37795.4574193548,2.54838709677419,3.06451612903226,3.80645161290323,3.80645161290323,3.06451612903226,3.74193548387097,3.2258064516129,3.29032258064516,4,"0","1","0","0","Bale Mountains NP",5,12
54,54,6.44389860971362e-07,0.245927495326894,0.924666891672986,0.638123070475508,0.161930073482219,0.0287038909729247,197833.216666667,2.80392156862745,3.13725490196078,3.94117647058824,3.80392156862745,3.19607843137255,3.72549019607843,3.09803921568627,3.03921568627451,4,"0","1","0","0","Banagi",4,15
8,8,7.68394641158135e-12,0.245927495326894,0.984245943868474,0.661945975708323,0.142234909919876,0.0232645148403628,23042.33375,2.5,2.625,3.625,4,3.375,4,3.57142857142857,3.57142857142857,4,"0","1","0","0","Banc d'Arguin",3,6
22,22,3.40888605866628e-08,0.245927495326894,0.997233224962242,0.721233095372765,0.180495101661921,0.0384035428775904,12873.905,2.09090909090909,2.54545454545455,3.54545454545455,3.59090909090909,2.63636363636364,3.63636363636364,3.36363636363636,3.5,4,"0","1","0","0","Bandia",4,10
57,57,1.8822656213253e-05,0.245927495326894,0.911193725606544,0.654174518835868,0.173510400477169,0.0336799769907908,91118.7529385965,2.75925925925926,2.94444444444444,3.81481481481481,3.7962962962963,3.14814814814815,3.77777777777778,3.2037037037037,3.03703703703704,4,"0","1","0","0","Bangweulu Swamps",5,17
10,10,4.61530729719796e-10,0.245927495326894,0.989333251885003,0.611962512064179,0.144732495398,0.0251774484531236,18774.519,2.1,2.2,3.6,3.7,2.4,3.4,4,3.77777777777778,4,"0","1","0","0","Belezma NP",2,8
30,30,9.61176620106435e-05,0.245927495326894,0.8349438551158,0.659390344742029,0.204822601234343,0.0463621482192282,137357.489666667,2.60714285714286,2.64285714285714,3.82142857142857,3.57142857142857,1.75,3.46428571428571,3.46428571428571,3.46428571428571,4,"0","1","0","0","Benin",5,13
