shortName,fullName,country,latitude,longitude,WDPA_ID,Notes
Salonga NP,Salonga National Park,"Congo, Democratic Republic of",-2.36,20.97,478292,"two options, 10906 or 478292"
Lake Chad,Lake Chad Game Reserve,Nigeria,13,13.5,903113,
Lamto,Lamto,"Cote dIvoire (Ivory Coast),",6.22,-5.03,555547526,
Qarun Lake NR,Qarun Lake National Reserve,Egypt,29.56,30.61,555547984,
Rwenzori,Rwenzori Forest,Uganda,0.39,29.98,555549367,
Natal Woodland,Natal Woodland,South Africa,-27.4,32.15,555563964,
Kapama GR,Kapama Game Reserve,South Africa,-24.3,31,555570390,
Mt Fouari FR,Mount Fouari Faunal Reserve,"Congo, Democratic Republic of",-2.78,11.67,555571319,
Okavango,Okavango Delta,Botswana,-19.5,22.7,555577555,
Ngorongoro,Ngorongoro Crater ,Tanzania,-3.1617522,35.5876697,555623796,
Niassa GR,Niassa Game Reserve,Mozambique,-12.24,36.98,555637447,
Makokou,Makokou,Gabon,0.5,13,40115,
Amani,Amani,Tanzania,-5.1,38.63,555697527,
Akegera,Akagera National Park,Rwanda,-1.65,30.69,NA,
Alor,Alor National Nature Reserve,Niger,18.83,9.47,NA,
Angola,Angola Woodland,Angola,-15.29,14.81,NA,
Arli,Arli National Park,Burkina Faso,11.6129173,1.2891036,NA,
Badiar NP,Badiar National Park,Guinea,12.34,-13.17,NA,
Bagbele,Bagbele,"Congo, Democratic Republic of",4.3,29.5,NA,
Banagi,Banagi,Tanzania,-2.25,34.82,NA,
Congo Basin,Congo Basin,"Congo, Democratic Republic of",1.66,28.49,NA,
Cross River,East of Cross River,Nigeria,5.84,8.79,NA,
East of River Niger,East of River Niger,Nigeria,5.26,6.51,NA,
Gabiro,Gabiro (Kagera),Rwanda,-1.55,30.38,NA,
Gadabedji FR,Gadabedji Faunal Reserve,Niger,15.14,7.15,NA,
Gambela NP,Gambela National Park,Ethiopia,8,34,NA,
Ghonarezhou NP,Ghonarezhou National Park,Zimbabwe,-21.66,31.86,NA,
Gile GR,Gile Game Reserve,Mozambique,-16.53,38.44,NA,
Guinea,Guinea Savanna,Nigeria,10.31,9.98,NA,
Guinea Woodland,Guinea Woodland,Nigeria,7.5,7.5,NA,
Hadar,Hadar,Ethiopia,11.1,40.58,NA,
Irangi,Irangi,"Congo, Democratic Republic of",-1.92,28.47,NA,
Jos Plateau,Jos Plateau,Nigeria,9.5,9,NA,
Kalahari Thornveld,Kalahari Thornveld (Tswalu Kalahari Reserve),South Africa,-25.62,20.43,NA,
Kangandala NP,Kangandala National Park,Angola,-9.81,16.77,NA,
Kapiti,Kapiti,Kenya,-1.58,36.9,NA,only locations in New Zealand
Karamoja,Karamoja,Uganda,3,34.33,NA,
Kalahari Gemsbok,Kgalagadi Transfrontier Park,Botswana,-25.4398938,20.902977,NA,
Khaudom NP,Khaudom National Park,Namibia,-18.75,20.76,NA,
Kisama NP,Kisama National Park,Angola,-9.77,13.62,NA,
Knysna/Wilderness NP,Knysna/Wilderness National Park,South Africa,-33.5,22.6,NA,
OLI,Kruger N Oliphants,South Africa,-24.005,31.74,NA,
La Maboke,La Maboke,Central African Republic,4,18.5,NA,
Lake Magadi,"Lake Magadi, Great Rift Valley",Kenya,-1.86,36.26,NA,
Mweru,Lake Mweru,Zambia,-8.65,29.42,NA,
Lefini,Lefini Faunal Reserve,"Congo, Democratic Republic of",-2.96,15.42,NA,
Legaja,Legaja,Tanzania,-3,35.03,NA,
Lemera,Lemera,"Congo, Democratic Republic of",-2.13,28.83,NA,
Linyanti,Linyanti Swamp,Botswana,-18.5,23.5,NA,
Lokori,Lokori,Kenya,2,36.5,NA,
Lope Reserve,Lope Reserve,Gabon,-0.16,11.85,NA,
Lusinga,Lusinga,"Congo, Democratic Republic of",-8.8,27.5,NA,
Mabwe,Mabwe,"Congo, Democratic Republic of",-8.6,26.5,NA,
Mahango GR,Mahango Game Reserve,Namibia,-18.22,21.66,NA,
Makakou,Makakou,Gabon,-0.66,12.72,NA,
Manputo GR,Manputo Game Reserve,Mozambique,-26.39,32.81,NA,
Marroumeu GR,Marromeu Game Reserve,Mozambique,-18.77,35.95,NA,
Marsabit NP,Marsabit National Park,Kenya,2.32,37.98,NA,multiple options
Matobo NP,Matobo National Park,Zimbabwe,-20.55,28.54,NA,
Matusandona NP,Matusadona National Park,Zimbabwe,-16.95,28.61,NA,
Merja Sidi Boughaba,Merja Sidi Boughaba,Morocco,34.23,-6.68,NA,
Messina,"Messina, Transvaal",South Africa,-22.3,30,NA,
Mocamedes,Mocamedes Partial Reserve,Angola,-15.71,12.4,NA,
Mt Assirik,Mount Assirik,Senegal,12.88,-12.76,NA,
Mount Kenya,Mount Kenya,Kenya,-0.25,37.2,NA,too many options
Kivu,Mount Kivu,"Congo, Democratic Republic of",-3.7,29,NA,
Namib Desert,Namib Desert,Namibia,-21.5,14.4,NA,
Nkhoto-Kota WR,Nkhota-Kota WR,Malawi,-12.88,34.02,NA,
Nyganga Nord FR,Nyganga Nord Faunal Reserve,"Congo, Democratic Republic of",-2.81,12,NA,
Obudu-Boshir,Obudu-Boshir Okwango Game Reserve,Nigeria,6.29,9.21,NA,
Rwenzori Grassland,Rwenzori Grassland,Uganda,-0.08,29.83,NA,
Sahel_Savanna,Sahel Savanna,Nigeria,12.5,13.5,NA,
Sangmelina,Sangmelina,Cameroon,3,12,NA,
Semliki,Semliki Forest,Uganda,0.07,30,NA,
Semliki Montane,Semliki Montane Forest,Uganda,0.07,30,NA,
Seredou,Seredou,Guinea,7.58,-9.33,NA,
Serengeti Bushland,Serengeti Bushland,Tanzania,-1.75,35,NA,
