"name","area","WDPAid","patchRichness","nPatches","stddev_WC","mean_WC","analysis_scale"
"Ouadi-Rimé-Ouadi Achim",83325.069787164,1250,3,104,0.0134237937907374,0.0224829594395155,5000
"Zemongo",13733.4708663777,2259,6,137,0.0706985601472415,0.633220260488215,5000
"Gishwati",14.4628396538684,21416,1,1,0.019035816192627,0.758587165801756,5000
"Budongo",821.541205277058,34804,5,12,0.068024320426446,0.782826969877746,5000
"North Rwenzori",35.4453071510627,555549367,1,2,0,0.709775793552399,5000
"Arabuko Sokoke",370.010104295181,7422,3,8,0.0415229287165392,0.789287998148986,5000
"Mount Elgon",607.569354283619,7660,3,17,0.0441518442285581,0.801705856471486,5000
"Kakamega",180.976326687368,33450,2,7,0.025988307959469,0.802415820717363,5000
"Partial Reserve Buffalo",333.318022205527,4494,2,8,0.0616425462817123,0.496220374898298,5000
"Ngotto",801.028951910029,28745,1,3,0.0231080919040589,0.817420070914922,5000
"Massif du Ziama",918.655546737231,29066,1,14,0.0131193921122793,0.805984250520666,5000
"Bahr Salamat",21293.2320330112,5164,6,204,0.0463035039294396,0.374335630276192,5000
"Abou Telfane",1086.90997171352,9034,4,20,0.0594987014488774,0.354827533277336,5000
"Mount Nimba",146.235689350114,29067,3,6,0.0912980921124375,0.755748295040422,5000
"Kourtiagou",438.007831799519,3226,3,7,0.0457847239205426,0.213138839856785,5000
"Pama",2340.91524855995,3228,3,29,0.0400481109407452,0.219196393414078,5000
"Sahel",18220.047721804,3225,5,108,0.0122121773205803,0.0130260436103769,5000
"Integral Nature Reserve and the Luando",8771.82686895232,3066,5,80,0.0851266935556102,0.620327354617407,5000
"Salonga",33517.3375087849,478292,1,47,0.013185189494901,0.864321208648616,5000
"Benoué",1672.71905691748,3011,3,21,0.0682622713825385,0.40736068702157,5000
"Tassili N'Ajjer",99109.4396900303,20389,2,76,NA,NA,5000
"Okavango Delta",20505.4728414007,555577555,6,144,0.0623167842711364,0.473550035763551,5000
"Garamba National Park",5150.94940610021,4327,5,68,0.0963187930716902,0.506256544002926,5000
"Simien National Park",132.318772314026,2006,2,4,0.112571848427433,0.518210464203229,5000
"Parc National du Diawling",662.128743508618,95349,5,18,NA,NA,5000
"Lake Chilwa",2117.04199244709,145538,6,23,0.0694516180385739,0.413369315358933,5000
"Lake Chad Wetlands in Nigeria",6060.60999248206,903113,6,45,0.15273272941243,0.374328499203215,5000
"Lac Fitri",2034.1211834414,30017,6,26,0.0967169202260008,0.269017186531755,5000
"Bangweulu Swamps",3198.2880669166,68323,5,29,0.0955450916176853,0.487701212335168,5000
"Lac Oubeira",26.1069218787165,17706,1,1,NA,NA,5000
"Lac Tonga",25.2414426279865,67756,1,3,NA,NA,5000
"Lake Qarun Protected Area",1341.17197030357,555547984,3,14,NA,NA,5000
"Lac d’Afennourir",10.1247850977558,17712,0,0,NA,NA,5000
"Conkouati-Douli",5156.98331439062,313401,6,26,0.0867654724491621,0.624325662333657,5000
"Nouabalé-Ndoki",4106.79884281496,72332,1,12,0.0250679382496653,0.85743801953845,5000
"Lac Télé",4531.46661230057,313494,3,29,0.0866111985042037,0.796304255960229,5000
"Odzala Kokoua",13664.5723078619,643,3,32,0.0425841046782694,0.841147755731937,5000
"Amboseli",389.139721275527,758,3,10,0.0912352451688752,0.111601651013516,5000
"Aberdare",774.677166530184,756,5,20,0.111728730822128,0.741752023457814,5000
"Nairobi",116.826330445917,761,2,5,0.0482628524626766,0.561933525978082,5000
"Lake Nakuru",191.211838075167,762,4,8,0.130913724528277,0.513735224212942,5000
"Meru",878.845191725783,755,4,16,0.12387469599864,0.520375262935126,5000
"Tsavo East",20550.1465539525,-999999,6,76,0.102235204626882,0.348367790944222,5000
"Masai Mara",1524.66034636007,1297,4,28,0.0233798587285708,0.615778338101274,5000
"Samburu",159.792170775512,2298,2,6,0.0484590799483257,0.2363568337724,5000
"Arawale",630.021467140626,2423,2,3,0.0438078739530046,0.453516886428362,5000
"Tongwe",13.6366076064377,350014,0,0,0,0.682317959678757,5000
"Golden Gate Highlands National Park",348.488446395834,879,1,6,0.0238741584996569,0.408589577260557,5000
"Kruger National Park",19214.9813074498,873,5,169,0.0698897150172319,0.398248737166929,5000
"Cliff of Bandiagara (Land of the Dogons)",3326.69271689958,20171,3,30,0.0328518286224117,0.0566242167284115,5000
"Tsoulou",289.474206831833,2270,2,8,0.0631045465974934,0.432903242598716,5000
"Mont Fouari",288.812468764174,555571319,3,9,0.081826579554402,0.51490178430846,5000
"Kizigo G.R. (C)",5093.23244586632,7883,6,39,0.0479986565691327,0.391413160090391,5000
"Selous G.R",41481.3084524387,1399,7,275,0.11296416214816,0.68700332479607,5000
"Arusha National Park",111.854715426011,925,3,3,0.137140810403223,0.650769604006635,5000
"Lake Manyara National Park",108.309022363446,924,4,5,0.219875782653108,0.399646441168907,5000
"Tarangire National Park",2621.66746052118,920,4,46,0.0654414648703667,0.384026200007497,5000
"Mahale Mts.National Park",1468.17431696778,7521,6,21,0.0930773353783929,0.729153658761436,5000
"Ruaha National Park",14567.7750982517,917,6,128,0.107991210158802,0.406529302813761,5000
"Mikumi National Park",3232.56854937872,919,5,32,0.165897942676738,0.715937545679384,5000
"Gombe National Park",34.4662545296866,926,1,1,0.016227513551712,0.564989028797775,5000
"Kilimanjaro National Park",1856.13932950592,922,7,29,0.227412667590171,0.65174745656599,5000
"Ngorongoro Conservation Area",8286.85439403613,555623796,10,100,0.230153829547911,0.378125360261954,5000
"Talassemtane National Park",614.05363113184,17742,3,18,NA,NA,5000
"Rukwa",2196.82285233562,301552,4,32,0.0836333951868903,0.52554738065864,5000
"Gorongosa",3686.68853019709,801,8,57,0.149005442454624,0.656533821303567,5000
"Banhine",6066.47750031138,799,5,56,0.0852449010477904,0.466030036463994,5000
"Zinave",3901.5617671334,800,5,43,0.0636547762204233,0.59548101178768,5000
"Niassa",42305.4109343714,555637447,8,290,0.128800899456479,0.552332451617353,5000
"Lamto Scientific Reserve",28.4360885272384,555547526,1,1,0.0208844244480133,0.574198660108593,5000
"Hluhluwe Game Reserve",144.029290305012,116189,2,3,0.0377377735489462,0.747724902629852,5000
"Natal National Park",61.5434000171723,555563964,1,3,0.0243862203235042,0.549093361679322,5000
"Mweru Wantipa",3170.70226804403,1090,7,36,0.13950166499578,0.615342768278977,5000
"Kafue",22397.4459713434,1085,7,189,0.106191096781087,0.500632138772172,5000
"Nyika",83.3050429446796,1102,3,3,0.00704967975616455,0.671418202921338,5000
"West Lunga",1786.23132426852,1093,3,18,0.0918574859075674,0.828394581607588,5000
"Kafue Flats",4766.49233957314,4091,6,65,0.0775341082717,0.377236689138567,5000
"Chobe",10538.2800262787,600,5,84,0.0625939919847908,0.453099318874506,5000
"Wadi El Assuti",35.3614173331642,18771,1,2,NA,NA,5000
"Wadi El Rayan",1758.77072219576,30006,3,17,NA,NA,5000
"Omayed",690.74931065629,3020,4,12,NA,NA,5000
"Nyika National Park",3106.62226629606,779,6,43,0.141109696011573,0.59680596073642,5000
"Kasungu National Park",2369.50896929265,780,4,50,0.0707882617466336,0.614033343168969,5000
"Lengwe National Park",931.480562329122,2315,5,25,0.0889258453791879,0.507028891213061,5000
"Mwabvi Wildlife Reserve",345.393247453633,2320,5,8,0.0643092869502267,0.519151167143481,5000
"Vwaza Marsh Wildlife Reserve",985.320437797011,4648,4,20,0.0920035431704878,0.515263602781407,5000
"Parc National de Djurdjura",163.762779850997,4118,3,11,NA,NA,5000
"Parc National de Belezma",177.12785262979,9742,3,10,NA,NA,5000
"Parc W Niger",2220.18873531027,818,2,13,0.0362164903176024,0.226076793737033,5000
"Réserve totale de faune de Tamou",791.645088983402,2331,2,14,0.0664855374436875,0.245532705644719,5000
"Addax Sanctuary",12781.6819827768,72350,1,23,NA,NA,5000
"Chambi",67.2847408954823,4486,1,2,NA,NA,5000
"Parc national de Djebel Bou-Hedma",165.272413749359,13962,2,9,NA,NA,5000
"Liwonde National Park",507.102346246761,2316,7,15,0.0532538033792215,0.4303820761311,5000
"Majete Wildlife Reserve",707.194510835127,2319,4,13,0.12466760177891,0.560594046815236,5000
